MA-L,044BED,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6C8DC1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0CD746,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,60A37D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9060F1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8782E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,000502,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,000A95,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00264A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,041E64,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,001124,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,002241,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7CC537,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,78CA39,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,18E7F4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,70CD60,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,8C7B9D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D89E3F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8C75D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0C74C2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,403004,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,842999,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,74E2F5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E0C97A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,68A86D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7CC3A1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7073CB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,90840D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E80688,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,EC852F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00F4B9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5C95AE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9803D8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,60C547,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,685B35,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,2CB43A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,689C70,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,380F4A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3010E4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A886DD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,444C0C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B4F0AB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,80929F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9C04EB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5C969D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,609217,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,84B153,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E06678,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,48D705,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,041552,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,CC785F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,88CB87,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F0C1F1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,843835,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,8C006D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A8968A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F41BA1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,60D9C7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3CAB8E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F82793,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,907240,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,908D6C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8098A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4C7C5F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,68644B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C81EE7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A43135,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,68D93C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00F76F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C88550,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7014A6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,985AEB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,78D75F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E0B52D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6C94F8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C0CECD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C869CD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A4B805,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5CADCF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BC6C21,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,544E90,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,ACBC32,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7CA1AE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3C22FB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,940C98,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E8FBE9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,38EC0D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E490FD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,84AB1A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D06544,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D8DC40,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,805FC5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,206980,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3C4DBE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,48262C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,147DDA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C4910C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9860CA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4490BB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,34FD6A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,443583,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E06D17,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F0B3EC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F465A6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,44F21B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,74650C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F4D488,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,682F67,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,50ED3C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,848C8D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0CE441,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B82AA9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7864C0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E81CD8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3C0630,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,74E1B6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F40E01,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1495CE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,50DE06,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,CC660A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,FC1D43,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8B2F8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,98460A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B85D0A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7C9A1D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,103025,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5462E2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,149D99,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C09AD0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,94B01F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,94F6D6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F82D7C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,18810E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,608C4A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,74B587,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,FCB6D8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,241B7A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,8CFE57,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C0A600,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,000393,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1C1AC0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,40831D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,DCD3A2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5C1DD9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,88AE07,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,68FEF7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,68EF43,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D02B20,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,2C61F6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D4A33D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F0766F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4098AD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6C4D73,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7867D7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8C111,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9CE33F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A8BE27,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C0A53E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D4619D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,14BD61,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7C5049,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,58404E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D0C5F3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BC9FEF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,20AB37,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,60F445,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,88E87F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9CF48E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5CF7E6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B853AC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,203CAE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A03BE3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4C3275,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D83062,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B88D12,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,8C8EF2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,90B0ED,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,04D3CF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B48B19,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BCEC5D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28A02B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3871DE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7081EB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,606944,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0452F3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,60FB42,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,64B9E8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,001D4F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,002312,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D8A25E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,000A27,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,183451,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0C771A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,286ABA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4CB199,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C09F42,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D023DB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,70DEE2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F0CBA1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,182032,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,403CFC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4860BC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3451C9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,406C8F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5855CA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,DC2B61,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,40A6D9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,60FACD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,003EE1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,FC253F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,04F7E4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,34C059,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F0D1A9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,705681,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,14109F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,040CCE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,54EAA8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28E14C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E4C63D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,54E43A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,04DB56,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,AC3C0B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,701124,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,042665,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,EC3586,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,78FD94,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,2CBE08,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E8802E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,006171,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,8C7C92,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B03495,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F437B7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,AC7F3E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,280B5C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,ACFDEC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,DC9B9C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,54724F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D8CF9C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7C6DF8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,04E536,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A8BBCF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6C4008,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,40331A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,CCC760,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BC4CC4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,DC3714,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,20A2E4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28F076,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7C0191,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,80D605,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,DC2B2A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,082CB6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F84E73,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F07807,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3CCD36,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,444ADB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,309048,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D84C90,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,24D0DF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6C4A85,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28F033,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BC0963,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E87F95,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,88C08B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4C7CD9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BCA5A9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,20E2A8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A0FBC5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,007D60,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C40B31,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,149877,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,88665A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B0E5F9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,40E64B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B4FA48,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F02F4B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
Registry,Assignment,Organization Name,Organization Address
MA-L,90FFD6,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,C0280B,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,9CEA97,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,C89BAD,"Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District,Shenzhen, Guangdong 518040, People's Republic of China Shenzhen  CN 518040 "
MA-M,14AE857,"SHENZHEN HONOR ELECTRONIC CO.,LTD","No. A Building, Xinghui Industrial Park, Gushu No. 2Rd, SHEN ZHEN GUANG  DONG CN 518000 "
MA-L,A06974,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,EC6488,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,E42761,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,98BEDC,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,0CB789,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,9C0567,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
MA-L,047975,"Honor Device Co., Ltd.","A1701, Block AB, Building 1, Tianan Yungu Phase I, Gangtou Community, Bantian Street Shenzhen Guangdong CN 518129 "
Registry,Assignment,Organization Name,Organization Address
MA-L,10327E,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone Dongguan Guangdong CN 523808 "
MA-L,30FBB8,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,44D791,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,8446FE,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,D82918,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,D46BA6,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,CC0577,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,D462EA,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,54BAD6,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,24166D,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan   CN 523808 "
MA-L,940B19,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan   CN 523808 "
MA-L,70C7F2,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan   CN 523808 "
MA-L,88F56E,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan   CN 523808 "
MA-L,C8C2FA,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan   CN 523808 "
MA-L,CC64A6,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
